Group,Model,Accuracy,Precision,Recall,AUC-ROC
" MinMaxScaler, no Boxcox",decisiontree_MinMax,0.7875101378751014,0.6494601097509498,0.6850003187219356,0.6282994251510272
" MinMaxScaler, no Boxcox",gradientboost_MinMax,0.7875101378751014,0.6494601097509498,0.6850003187219356,0.6282994251510272
" MinMaxScaler, no Boxcox",LR_MinMax,0.8672614220059476,0.7644784818203572,0.742557059063877,0.8572410488773151
" MinMaxScaler, no Boxcox",MLP_MinMax,0.8726682887266829,0.797949168680876,0.6912911582355136,0.785964374202542
" MinMaxScaler, no Boxcox",RandomForest_MinMax,0.8786158421194917,0.7940809169833408,0.7378373619437648,0.8633356915273259
" MinMaxScaler, no Boxcox",SVC_MinMax,0.8315761016490943,0.4159004867495944,0.49983750406239846,
" MinMaxScaler, no Boxcox",XGBoost_MinMax,0.8686131386861314,0.7729443276687994,0.716432310253337,0.7945006358763861
